Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Europa y Asia central (excluido altos ingresos),ECA,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,10.29658034,10.28114743,10.28778202,10.30655598,10.314278,10.31593867,10.30789521,10.2965249,10.28642953,,,
Europa y Asia central,ECS,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,12.26007393,12.2408027,12.25801352,12.21812286,12.21846832,12.19980492,12.36536667,12.35658135,12.32480395,,,
Ecuador,ECU,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,4.776936705,4.653325817,4.621919794,4.807537446,3.905620873,4.300209373,3.929779353,4.159284909,3.897568046,,,
"Egipto, República Árabe de",EGY,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,2.8861319,2.820834798,2.841930785,2.720347581,2.652257773,2.878976443,2.799503139,2.924274248,2.924274248,,,
Zona del Euro,EMU,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,24.28265064,24.1215019,24.33422275,24.10444868,24.0189528,23.94619039,23.89608624,23.88487291,23.56669928,,,
Eritrea,ERI,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,6.831683168,6.831683168,6.831683168,6.831683168,6.831683168,6.831683168,6.831683168,6.831683168,6.831683168,,,
España,ESP,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,25.05549889,24.86396735,25.12944563,24.35177226,24.54569081,24.57310056,24.69589482,24.52974077,23.78736818,,,
Estonia,EST,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,15.2158528,14.91861288,14.63788629,14.67678859,15.04485852,15.52795031,16.0110421,15.73498965,15.82700713,,,
Etiopía,ETH,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,12.89790252,13.45473891,13.59003948,13.70069995,13.81124167,13.92134692,14.03165087,14.14104563,14.33365307,,,
Unión Europea,EUU,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,25.43080747,25.38086822,25.46126881,25.10574656,25.07065847,25.00437124,24.90840957,24.89794873,24.73822252,,,
Frágiles y situaciones de conflicto afectados,FCS,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,8.252875503,8.64590222,8.981110113,9.04126359,9.093326827,9.108742325,9.141039951,9.141659547,9.154266366,,,
Finlandia,FIN,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,7.419545903,7.405640199,7.401033269,7.318766659,7.34081411,7.378171169,7.390345826,7.3769413,7.383521979,,,
Fiji,FJI,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,9.031198686,9.031198686,9.031198686,9.031198686,9.031198686,9.031198686,9.031198686,9.031198686,9.031198686,,,
Francia,FRA,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,33.42245647,33.37442495,33.38775689,33.43158794,33.4816284,33.74753679,33.52329712,33.72136052,33.10413345,,,
Islas Feroe,FRO,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,2.148997135,,,
Micronesia (Estados Federados de),FSM,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,2.857142857,2.857142857,2.857142857,2.857142857,2.857142857,2.857142857,2.857142857,2.857142857,2.857142857,,,
Gabón,GAB,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,1.261303217,1.261303217,1.261303217,1.261303217,1.261303217,1.261303217,1.261303217,1.261303217,1.261303217,,,
Reino Unido,GBR,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,24.67655934,25.05683462,25.67684868,25.89757368,25.76571736,24.84602984,24.90807465,25.1431381,24.95675361,,,
Georgia,GEO,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,5.684271118,5.430997266,5.324507123,5.982155706,5.252554324,5.291408836,4.950352569,4.662541373,4.475464096,,,
Ghana,GHA,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,20.30412235,20.74360552,20.65570889,20.65570889,20.65570889,20.65570889,20.65570889,20.65570889,20.65570889,,,
Gibraltar,GIB,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,,,,,,,,,,,,
Guinea,GIN,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,11.80205112,11.80205112,12.20901839,12.61598567,12.61598567,12.61598567,12.61598567,12.61598567,12.61598567,,,
Gambia,GMB,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,44.46640316,44.46640316,43.47826087,43.47826087,43.47826087,43.47826087,43.47826087,43.47826087,43.47826087,,,
Guinea-Bissau,GNB,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,10.6685633,10.6685633,10.6685633,10.6685633,10.6685633,10.6685633,10.6685633,10.6685633,10.6685633,,,
Guinea Ecuatorial,GNQ,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,4.278074866,4.278074866,4.278074866,4.278074866,4.278074866,4.278074866,4.278074866,4.278074866,4.278074866,,,
Grecia,GRC,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,19.91466253,19.79829325,19.70519783,19.47245927,17.25368503,16.84251358,16.60201707,16.58650116,16.57564003,,,
Granada,GRD,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,8.823529412,8.823529412,8.823529412,8.823529412,8.823529412,8.823529412,8.823529412,8.823529412,8.823529412,,,
Groenlandia,GRL,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,0.002192715,0.002192715,0.002192715,0.002192715,0.002192715,0.002192715,,,,,,
Guatemala,GTM,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,11.16162747,10.56009705,9.958566629,9.357036208,8.714072415,8.044046286,8.044046286,8.044046286,8.044046286,,,
Guam,GUM,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,,,
Guyana,GUY,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,2.133604267,2.133604267,2.133604267,2.133604267,2.133604267,2.133604267,2.133604267,2.133604267,2.133604267,,,
Ingreso alto,HIC,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,9.682512966,9.8121589,9.781648969,9.752975537,9.801124131,9.782713956,9.870720479,9.904277166,9.89385483,,,
"Hong Kong, Región Administrativa Especial",HKG,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,3.333333333,3.333333333,2.952380952,2.952380952,2.952380952,2.952380952,2.857142857,2.952380952,2.857142857,,,
Honduras,HND,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,9.116096166,9.116096166,9.116096166,9.116096166,9.116096166,9.116096166,9.116096166,9.116096166,9.116096166,,,
Países pobres muy endeudados (PPME),HPC,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,7.8863377,8.274080554,8.664663349,8.789520903,8.821792425,8.830458971,8.867225673,8.84642858,8.870226597,,,
Croacia,HRV,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,16.16154396,16.02394568,16.19728377,15.66118656,14.36472875,14.90899452,15.44442481,14.43717971,14.20745715,,,
Haití,HTI,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,39.91291727,38.46153846,36.28447025,38.82438316,38.82438316,38.82438316,38.82438316,38.82438316,38.82438316,,,
Hungría,HUN,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,48.51430465,48.54744284,48.56953496,47.67480393,47.35919351,47.38110892,47.37015122,47.37015122,47.38110892,,,
Sólo BIRF,IBD,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,10.90801713,10.92112745,10.92589334,10.93943574,10.91993744,10.95979631,10.9900339,11.09300327,11.09617475,,,
BIRF y la AIF,IBT,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,10.90407379,10.95324578,11.04541836,11.0706794,11.06401246,11.09726328,11.13446352,11.21240008,11.2094334,,,
total de la AIF,IDA,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,10.89162697,11.04692204,11.39402604,11.45346581,11.48424632,11.4979883,11.55587723,11.56077816,11.53990214,,,
mezcla de la AIF,IDB,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,19.09909209,19.60053738,19.83306518,19.62845902,19.61793119,19.55306358,19.68627168,19.73275749,19.57007886,,,
Indonesia,IDN,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,13.02737405,12.97217331,12.97217331,12.97217331,12.97217331,13.13777552,13.42196803,14.00784759,14.00784759,,,
Sólo AIF,IDX,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,8.913076263,9.17586206,9.548016673,9.665209832,9.704920406,9.729737379,9.771088733,9.766833028,9.777099924,,,
Isla de Man,IMN,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,44.52631579,43.80701754,37.71929825,38.42105263,38.77192982,40.70175439,41.22807018,40.35087719,40.52631579,,,
India,IND,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,52.80826318,52.79817301,52.65253818,52.61755892,52.62462204,52.6088141,52.6088141,52.6088141,52.6088141,,,
No clasificado,INX,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,,,,,,,,,,,,
Irlanda,IRL,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,6.37015532,6.664827987,7.00551604,6.881114821,6.752503992,6.575700392,6.691827551,6.691827551,6.546668602,,,
"Irán, República Islámica del",IRN,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,9.448905916,9.340848253,9.232790589,9.017289226,9.017289226,9.017289226,9.017289226,9.017289226,9.017289226,,,
Iraq,IRQ,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,9.209799226,9.900534168,9.94312949,10.62762595,11.5611064,11.51734051,11.51734051,11.51734051,11.51734051,,,
Islandia,ISL,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,1.226932668,1.218952618,1.208977556,1.208977556,1.208977556,1.206982544,1.206982544,1.206982544,1.200039671,,,
Israel,ISR,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,13.56746765,13.66451017,13.62292052,13.20702403,13.88632163,13.73382625,13.63216266,17.88354898,17.72181146,,,
Italia,ITA,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,23.94098049,22.84626368,24.19936085,23.21003604,22.87346162,22.44169443,22.76806963,22.90157748,22.58086185,,,
Jamaica,JAM,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,11.08033241,11.08033241,11.08033241,11.08033241,11.08033241,11.08033241,11.08033241,11.08033241,11.08033241,,,
Jordania,JOR,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,2.000450552,1.977922956,2.444244199,2.601937373,2.675152061,2.567019599,2.67244875,2.106330255,2.264023429,,,
Japón,JPN,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,11.74759945,11.67078189,11.64883402,11.62688615,11.5829904,11.53635117,11.478738,11.41563786,11.36351166,,,
Kazajstán,KAZ,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,10.62481016,10.80883061,10.86509612,10.88813572,10.91610179,10.96458866,10.97981257,10.9853317,11.01915028,,,
Kenya,KEN,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,9.663703131,10.19081421,10.3665179,10.19081421,10.19081421,10.19081421,10.19081421,10.19081421,10.19081421,,,
Kirguistán,KGZ,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,6.653806048,6.652241919,6.655891554,6.666840459,6.676746611,6.676746611,6.714285714,6.714285714,6.715328467,,,
Camboya,KHM,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,21.52730569,21.52730569,21.52730569,21.52730569,21.52730569,22.15612962,22.15612962,22.15612962,22.15612962,,,
Kiribati,KIR,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,,,
Saint Kitts y Nevis,KNA,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,17.30769231,19.23076923,19.23076923,19.23076923,19.23076923,19.23076923,19.23076923,19.23076923,19.23076923,,,
